	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
93	54OBgO0Xwu20Jak9TMXbR7	Wellerman - Sea Shanty	Nathan Evans	76	2021-01-21	set()	0.675	0.359	3	-5.157	1	0.614	0.0	0.137	0.792	191.903	155333	4
94	1hjW0eqVruLkpT4EOj3rBG	No Grave But The Sea	Alestorm	0	2017-05-26	{'british power metal', 'pirate', 'comic metal', 'power metal', 'scottish metal'}	0.549	0.974	10	-3.757	0	3.91e-05	2.3e-05	0.112	0.717	140.073	209787	4
95	7N3PAbqfTjSEU1edb2tY8j	Jump - 2015 Remaster	Van Halen	82	1984-01-04	{'classic rock', 'hard rock', 'album rock', 'rock'}	0.572	0.835	0	-6.219	1	0.171	0.000377	0.0702	0.795	129.981	241600	4
96	0dfAHJmRg7JtCbitsageQG	Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)	Martin Stadtfeld	52	2019-11-08	{'early music', 'german baroque', 'english baroque', 'baroque', 'classical', 'german classical piano', 'classical piano'}	0.253	0.0272	5	-31.271	1	0.993	0.916	0.0979	0.125	68.211	268000	4
97	2oaK4JLVnmRGIO9ytBE1bt	Dark Necessities	Red Hot Chili Peppers	75	2016-06-17	{'funk rock', 'alternative rock', 'funk metal', 'permanent wave', 'rock'}	0.7	0.742	5	-6.777	0	0.0722	0.0199	0.11	0.197	91.959	302000	4
98	2aibwv5hGXSgw7Yru8IYTO	Snow (Hey Oh)	Red Hot Chili Peppers	81	2006-05-09	{'funk rock', 'alternative rock', 'funk metal', 'permanent wave', 'rock'}	0.427	0.9	11	-3.674	1	0.116	1.75e-05	0.119	0.599	104.655	334667	4
99	6bruC2yqRBjAczjLkJoD0l	Echidna's Parade	Alan Gogoll	36	2019-04-02	{'tassie indie'}	0.501	0.169	2	-16.59	1	0.936	0.937	0.111	0.344	108.735	265601	4
100	4U45aEWtQhrm8A5mxPaFZ7	Vienna	Billy Joel	81	1977	{'soft rock', 'heartland rock', 'classic rock', 'album rock', 'mellow gold', 'singer-songwriter', 'piano rock', 'rock'}	0.532	0.495	10	-6.662	1	0.659	0.0	0.0754	0.308	124.936	214240	4
101	0Im4n5Ty21axN6iADQQVIm	Also sprach Zarathustra, Op. 30: Prelude (Sunrise)	Chicago Symphony Orchestra	0	2014-06-02	{'avant-garde', 'early modern classical', 'classical performance', 'orchestra', 'post-romantic era', 'classical', 'contemporary classical', 'serialism', 'german romanticism', 'acousmatic', 'orchestral performance', 'american orchestra'}	0.128	0.0669	0	-18.651	1	0.258	0.753	0.106	0.0886	88.846	121933	4
102	0qdQUeKVyevrbKhAo0ibxS	My Sweet Lord - Remastered 2014	George Harrison	19	1970-11-27	{'soft rock', 'beatlesque', 'classic rock', 'album rock', 'mellow gold', 'singer-songwriter', 'folk rock', 'rock'}	0.537	0.701	1	-8.913	0	0.0972	0.0	0.0832	0.583	120.919	281227	4
103	2oFgZSzpbXscqwZQyoFIzW	The Peacocks	Tony Reedus	29	2004-09-21	{'jazz trio'}	0.386	0.148	0	-18.921	0	0.949	0.792	0.0665	0.128	94.88	567920	4
104	1fnKHY9FBFexqlx69unvhd	What Are You Doing New Years Eve	The Jeff Steinberg Orchestra	36	2003-01-01	set()	0.295	0.195	10	-13.589	1	0.784	0.847	0.149	0.213	105.324	297679	4
105	3KT0SEsaO5RuzQv1pIKDEx	Plus Je T'embrasse	Blossom Dearie	47	1958-01-01	{'vocal jazz'}	0.621	0.108	0	-17.413	0	0.917	0.0	0.106	0.448	136.947	151533	4
106	4fUU9WKxEgJXyrZJsUA2iP	Can't You See	The Marshall Tucker Band	72	1973	{'soft rock', 'country rock', 'classic rock', 'album rock', 'mellow gold', 'blues rock', 'singer-songwriter', 'hard rock', 'southern rock'}	0.406	0.713	7	-5.49	1	0.276	0.00354	0.112	0.577	164.444	365093	4
107	1G391cbiT3v3Cywg8T7DM1	Scar Tissue	Red Hot Chili Peppers	83	1999-06-08	{'funk rock', 'alternative rock', 'funk metal', 'permanent wave', 'rock'}	0.595	0.717	0	-4.803	1	0.0779	0.00274	0.108	0.547	88.969	215907	4
