	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
432	6IppOKrbFWnuEo9ik1jSTp	Unwell	Taylor Acorn	46	2020-07-24	{'singer-songwriter pop'}	0.587	0.347	3	-10.523	1	0.514	0.0	0.107	0.371	70.52	214482	4
433	3xrn9i8zhNZsTtcoWgQEAd	Since U Been Gone	Kelly Clarkson	75	2004-01-17	{'dance pop', 'talent show', 'pop'}	0.662	0.741	0	-5.406	1	0.00165	0.0303	0.114	0.404	131.0	188960	4
434	7Lv78wiIJcKgND9Zi7AIOt	Fall Into Me	Forest Blakk	63	2021-09-24	{'singer-songwriter pop'}	0.45	0.483	2	-6.754	1	0.179	0.0	0.127	0.206	118.305	226067	4
435	7JIuqL4ZqkpfGKQhYlrirs	The Only Exception	Paramore	77	2009-09-28	{'candy pop', 'pop punk', 'pixie', 'pop', 'rock', 'pop emo'}	0.452	0.563	4	-6.607	1	0.144	0.0	0.143	0.209	137.715	267653	3
436	3kxGvXqQDSOTo2KC6bEHNF	My Mind	Ryan Harris	56	2022-04-29	set()	0.699	0.414	11	-12.373	1	0.434	0.231	0.109	0.394	117.991	202215	4
437	75FEaRjZTKLhTrFGsfMUXR	Running Up That Hill (A Deal With God)	Kate Bush	33	1985	{'art pop', 'baroque pop', 'singer-songwriter', 'permanent wave', 'art rock', 'piano rock', 'new wave pop'}	0.629	0.547	10	-13.123	0	0.72	0.00314	0.0604	0.197	108.375	298933	4
438	1JO1xLtVc8mWhIoE3YaCL0	Happy Together	The Turtles	78	1967	{'bubblegum pop', 'classic rock', 'rock-and-roll', 'folk rock', 'psychedelic rock'}	0.584	0.367	6	-9.638	0	0.55	1.38e-05	0.0818	0.588	120.175	176293	4
439	2iuZJX9X9P0GKaE93xcPjk	Sugar	Maroon 5	83	2014-09-02	{'pop'}	0.748	0.788	1	-7.055	1	0.0591	0.0	0.0863	0.884	120.076	235493	4
440	0oJMv049q8hEkes9w0L1J4	Imma Be	Black Eyed Peas	68	2009-01-01	{'dance pop', 'pop rap', 'pop'}	0.597	0.517	0	-6.963	1	0.179	0.0	0.307	0.413	92.035	257560	4
441	6ilHf9NUx0OTQvnwgyU2ot	End Of The World	Gavin James	23	2022-07-22	{'irish pop'}	0.646	0.719	11	-5.203	1	0.0115	0.0	0.0938	0.521	119.943	218389	4
442	3j7FgZyyJAZjMKbdWwpKcU	The Sweetest Part	Gavin James	31	2022-07-22	{'irish pop'}	0.405	0.3	5	-8.643	1	0.692	3.91e-06	0.125	0.317	142.0	223402	3
443	28tJhpy4NDPiZk28sEGSsh	Novocaine	Gavin James	39	2022-07-22	{'irish pop'}	0.834	0.587	4	-6.771	1	0.213	0.000139	0.332	0.658	117.95	198879	4
444	01tNpXoTjrqvb1zhG6wmop	You Never Know	Disney	57	2022-08-03	"{'movie tunes', ""children's music""}"	0.481	0.686	1	-7.223	0	0.172	0.0	0.0851	0.174	161.687	196620	4
445	0hRGlGlT4mXKi2GL20s43j	YOU SO DONE	Noga Erez	42	2021-08-03	{'israeli indie', 'israeli hip hop'}	0.881	0.292	4	-10.31	0	0.153	2.02e-05	0.107	0.414	77.027	160923	4
446	5DG2SWW7kPgYqOY0Ex5Ssj	Brother	Matt Corby	59	2012-11-16	{'australian indie'}	0.59	0.754	2	-4.705	1	0.215	2.05e-05	0.109	0.371	99.937	253521	4
447	2gApWgkuisXedOcS9Tligs	New Page	INTERSECTION	49	2020-01-08	{'j-pop boy group'}	0.604	0.733	2	-5.788	1	0.105	0.0	0.25	0.399	124.885	270904	4
448	1srR6pbN1YCtIulufVNeMZ	夜行	ヨルシカ	54	2020-07-29	{'j-pop'}	0.579	0.467	1	-6.576	1	0.379	0.000158	0.158	0.484	170.038	202720	4
449	6SRWhUJcD2YKahCwHavz3X	Darkside	Tomine Harket	75	2018-12-14	{'electro house', 'alt z', 'deep pop edm'}	0.43	0.606	4	-5.115	0	0.131	0.0	0.173	0.123	169.988	211680	4
450	0gplL1WMoJ6iYaPgMCL0gX	Easy On Me	Adele	84	2021-10-14	{'pop soul', 'uk pop', 'pop', 'british soul'}	0.604	0.366	5	-7.519	1	0.578	0.0	0.133	0.13	141.981	224695	4
451	1qEmFfgcLObUfQm0j1W2CK	Late Night Talking	Harry Styles	88	2022-05-20	{'pop'}	0.714	0.728	10	-4.595	1	0.298	0.0	0.106	0.901	114.996	177955	4
452	6tJkq3zUXlEjWluMW9Hdij	creature	half•alive	59	2019-08-09	{'alt z', 'pov: indie'}	0.477	0.523	11	-9.213	1	0.399	0.00044	0.369	0.501	113.196	335067	4
453	21lfQ6cXJF15ubyPLB6qHz	Vanilla	flipturn	57	2017-03-31	{'jacksonville indie', 'pov: indie'}	0.633	0.761	11	-7.097	1	0.0502	0.00114	0.638	0.801	96.061	248438	4
454	1GglmI9q5ABCHSBoZrMHSu	All The Things She Said	Jasmine Clarke	55	2020-09-25	set()	0.575	0.556	9	-10.64	0	0.17	0.0476	0.0956	0.303	180.153	131343	4
455	2FIpETWj9LRDvTOfMqs7hz	Dissolve - acoustic	NITESHIFT	50	2019-03-15	{'shimmer psych'}	0.593	0.211	6	-11.279	0	0.796	0.0	0.0743	0.253	165.644	168522	4
456	1djzKW3eYLyzjjHXazEWWh	Movement	Hozier	67	2019-03-01	{'pov: indie', 'irish singer-songwriter', 'modern rock', 'pop'}	0.381	0.502	1	-5.505	0	0.16	6.98e-05	0.0842	0.147	144.3	237800	4
457	6R6ux6KaKrhAg2EIB2krdU	Without You	Parachute	57	2016-01-15	{'neo mellow', 'neon pop punk', 'charlottesville indie', 'viral pop', 'pop rock', 'acoustic pop'}	0.564	0.864	4	-5.121	1	0.0761	0.0	0.182	0.534	95.984	228933	4
458	1Fid2jjqsHViMX6xNH70hE	Atlantis	Seafret	87	2016-01-29	{'folk-pop'}	0.4	0.479	8	-7.989	0	0.0529	2.14e-06	0.115	0.213	166.159	229173	4
459	2Ro9FLIVhPwIQopSr48oJT	Wildfire	Seafret	57	2016-01-29	{'folk-pop'}	0.587	0.58	6	-7.867	1	0.252	0.00243	0.105	0.193	131.953	224800	4
460	4wuCQX7JvAZLlrcmH4AeZF	Cross Me (feat. Chance the Rapper & PnB Rock)	PnB Rock	63	2019-07-12	{'melodic rap', 'singer-songwriter pop', 'pop rap', 'chicago rap', 'hip hop', 'trap', 'rap', 'conscious hip hop', 'uk pop', 'pop'}	0.746	0.787	4	-6.373	1	0.212	0.0	0.0669	0.607	95.005	206187	4
461	1AI7UPw3fgwAFkvAlZWhE0	Take Me Back to London (feat. Stormzy)	Stormzy	67	2019-07-12	{'singer-songwriter pop', 'uk hip hop', 'grime', 'uk pop', 'pop'}	0.885	0.762	8	-5.513	0	0.219	0.0	0.162	0.605	138.058	189733	4
462	1i4F583d9v9RabcfOlKKVL	Love In Slow Motion	Ed Sheeran	62	2021-10-29	{'singer-songwriter pop', 'uk pop', 'pop'}	0.485	0.54	1	-5.4	1	0.668	0.0	0.0849	0.426	62.631	190933	4
463	5jzKL4BDMClWqRguW5qZvh	Teenage Dream	Katy Perry	76	2010-01-01	{'pop'}	0.719	0.798	10	-4.582	1	0.0162	2.34e-06	0.134	0.591	120.011	227741	4
464	1y4eb6hmAvsqlDOl3fx9kk	Hot N Cold	Katy Perry	73	2008-06-17	{'pop'}	0.706	0.841	7	-3.956	1	7.95e-05	0.0	0.0688	0.861	132.032	220227	4
465	28UMEtwyUUy5u0UWOVHwiI	I'll Make a Man Out of You	Disney	72	1998-01-01	"{'movie tunes', ""children's music"", 'bubblegum pop'}"	0.672	0.322	7	-17.669	1	0.144	2.96e-05	0.074	0.496	113.852	201680	4
466	79BCsXo4O97ddoW1LyRctu	Best Day Of My Life	Brent Morgan	7	2022-09-09	{'gen z singer-songwriter'}	0.697	0.394	4	-11.678	1	0.748	5.89e-05	0.116	0.25	89.973	192667	4
467	7F1CiKqrY44kh5cDqwHOnx	Love Is Gone - Acoustic	Dylan Matthew	80	2019-11-13	{'dubstep', 'singer-songwriter pop', 'brostep'}	0.541	0.153	6	-10.654	1	0.882	1.66e-06	0.16	0.359	139.644	176972	4
468	4KANJH1baadr3U7XsVbM17	Something I Need	OneRepublic	54	2014-01-01	{'piano rock', 'pop'}	0.683	0.601	7	-6.927	1	0.164	0.0	0.119	0.62	98.97	241267	4
469	4TDNbA6GrVezonB1UftYvw	Manufactured Love	whatever mike	34	2016-06-27	{'nyc pop', 'neo r&b'}	0.683	0.395	2	-10.393	1	0.769	0.00369	0.106	0.17	115.947	194120	4
470	3LkfDWO0x8QnTvHJQp4luB	Way Back Into Love (Demo Version)	Hugh Grant and Drew Barrymore	27	2006-02-13	set()	0.478	0.436	8	-7.497	1	0.742	0.0	0.266	0.374	203.879	252400	4
471	32FhTAAjKZaBein150o3Px	because i liked a boy	Sabrina Carpenter	73	2022-07-15	{'pop'}	0.386	0.592	11	-7.299	1	0.363	0.0	0.117	0.161	146.879	196458	4
472	6Kkt27YmFyIFrcX3QXFi2o	Liability	Lorde	75	2017-06-16	{'nz pop', 'art pop', 'metropopolis', 'pop'}	0.587	0.229	10	-11.254	0	0.92	0.0	0.1	0.379	75.67	171728	4
473	6WC5fhc9XMaCrUNKNjm9xE	Thumbs	Sabrina Carpenter	72	2016-10-14	{'pop'}	0.73	0.718	8	-3.496	1	0.0284	0.0	0.0892	0.127	135.045	216467	4
474	48XkVAagIoQHCsOlJtXUd5	still feel.	half•alive	66	2019-08-09	{'alt z', 'pov: indie'}	0.779	0.516	10	-6.467	0	0.148	0.0	0.0492	0.715	120.026	247787	4
